,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total,poblacion
2004,5,5,5,9,8,5,3,9,10,6,6,7,2,8,5,3,7,5,6,6,4,4,3,0,6,6,3,3,1,2,0,2,0,6,4,2,6,2,2,6,10,8,5,2,9,6,5,4,11,5,3,5,255,"390,012"
2005,4,1,6,0,1,1,3,2,1,2,1,2,3,1,1,1,1,3,2,1,3,2,0,0,1,0,1,1,1,1,1,4,6,0,2,7,4,1,5,4,5,2,5,7,4,2,0,1,1,1,2,2,113,"371,591"
2006,7,3,1,1,0,4,3,0,1,1,3,4,1,0,1,2,3,3,2,2,1,2,0,1,0,0,3,3,7,4,4,8,6,5,4,3,6,6,11,4,7,15,16,10,15,22,12,21,24,19,14,13,308,"380,324"
2007,12,14,17,14,14,14,16,14,15,17,12,16,6,8,4,9,6,4,11,5,5,2,6,5,4,11,8,8,8,8,9,4,8,9,15,4,3,5,6,8,11,3,6,4,4,1,3,1,5,6,3,3,414,"388,460"
2008,4,11,6,7,5,3,7,5,2,7,4,4,1,7,6,5,3,3,5,5,7,2,1,2,3,2,1,4,7,4,4,3,2,3,10,1,0,3,3,4,4,4,1,6,4,4,3,3,0,0,2,0,197,"396,627"
2009,1,3,1,1,3,1,2,0,0,3,0,1,2,3,1,5,5,2,0,1,1,0,0,2,0,2,4,4,2,10,5,3,4,2,2,4,5,1,5,3,2,5,3,2,5,5,8,6,8,4,8,6,156,"404,844"
2010,18,13,15,14,22,28,48,44,43,35,50,53,47,39,35,53,44,38,64,61,53,63,51,48,48,44,43,35,48,57,61,47,32,42,47,30,25,23,13,20,15,14,8,12,12,7,3,5,2,1,1,2,1676,"413,107"
